==35275== NVPROF is profiling process 35275, command: ./conv1
==35275== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==35275== Profiling application: ./conv1
==35275== Profiling result:
==35275== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN V (0)","convolution(int)",1,"l2_local_load_bytes","Bytes read from L2 for misses in L1 for local loads",0,0,0
"TITAN V (0)","convolution(int)",1,"l2_surface_load_bytes","Bytes read from L2 for misses in L1 for surface loads",0,0,0
"TITAN V (0)","convolution(int)",1,"l2_global_atomic_store_bytes","Bytes written to L2 from L1 for global atomics",0,0,0
"TITAN V (0)","convolution(int)",1,"l2_local_global_store_bytes","Bytes written to L2 from L1 for local and global stores.",0,0,0
"TITAN V (0)","convolution(int)",1,"l2_surface_store_bytes","Bytes read from L2 for misses in L1 for surface stores",0,0,0
"TITAN V (0)","convolution(int)",1,"sysmem_read_bytes","System Memory Read Bytes",0,0,0
"TITAN V (0)","convolution(int)",1,"sysmem_write_bytes","System Memory Write Bytes",160,160,160
"TITAN V (0)","convolution(int)",1,"l2_tex_hit_rate","L2 Cache Hit Rate",98.023009%,98.023009%,98.023009%
"TITAN V (0)","convolution(int)",1,"texture_load_requests","Total number of texture Load requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",1,"tensor_precision_fu_utilization","Tensor-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
