==39839== NVPROF is profiling process 39839, command: ./class1b
==39839== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==39839== Profiling application: ./class1b
==39839== Profiling result:
==39839== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN V (0)","classify(float*, float*, int2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",20.560040%,20.560040%,20.560040%
"TITAN V (0)","classify(float*, float*, int2)",1,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","classify(float*, float*, int2)",1,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","classify(float*, float*, int2)",1,"stall_other","Issue Stall Reasons (Other)",0.005634%,0.005634%,0.005634%
"TITAN V (0)","classify(float*, float*, int2)",1,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.001150%,0.001150%,0.001150%
"TITAN V (0)","classify(float*, float*, int2)",1,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.040305%,0.040305%,0.040305%
"TITAN V (0)","classify(float*, float*, int2)",1,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_fp_32","FP Instructions(Single)",1644167168,1644167168,1644167168
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_fp_64","FP Instructions(Double)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_integer","Integer Instructions",1090912256,1090912256,1090912256
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_control","Control-Flow Instructions",96403456,96403456,96403456
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_compute_ld_st","Load/Store Instructions",4932567040,4932567040,4932567040
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_misc","Misc Instructions",159776768,159776768,159776768
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"issue_slots","Issue Slots",248154907,248154907,248154907
"TITAN V (0)","classify(float*, float*, int2)",1,"cf_issued","Issued Control-Flow Instructions",4065280,4065280,4065280
"TITAN V (0)","classify(float*, float*, int2)",1,"cf_executed","Executed Control-Flow Instructions",4065280,4065280,4065280
"TITAN V (0)","classify(float*, float*, int2)",1,"ldst_issued","Issued Load/Store Instructions",155715584,155715584,155715584
"TITAN V (0)","classify(float*, float*, int2)",1,"ldst_executed","Executed Load/Store Instructions",155715584,155715584,155715584
"TITAN V (0)","classify(float*, float*, int2)",1,"atomic_transactions","Atomic Transactions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","classify(float*, float*, int2)",1,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","classify(float*, float*, int2)",1,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",31412263,31412263,31412263
"TITAN V (0)","classify(float*, float*, int2)",1,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",77.518988%,77.518988%,77.518988%
"TITAN V (0)","classify(float*, float*, int2)",1,"stall_not_selected","Issue Stall Reasons (Not Selected)",0.783601%,0.783601%,0.783601%
"TITAN V (0)","classify(float*, float*, int2)",1,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",822083584,822083584,822083584
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_hp_add","Floating Point Operations(Half Precision Add)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_hp_mul","Floating Point Operation(Half Precision Mul)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_hp_fma","Floating Point Operations(Half Precision FMA)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_fp_16","HP Instructions(Half)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"ipc","Executed IPC",0.100847,0.100847,0.100847
"TITAN V (0)","classify(float*, float*, int2)",1,"issued_ipc","Issued IPC",0.081438,0.081438,0.081438
"TITAN V (0)","classify(float*, float*, int2)",1,"issue_slot_utilization","Issue Slot Utilization",2.035948%,2.035948%,2.035948%
"TITAN V (0)","classify(float*, float*, int2)",1,"sm_efficiency","Multiprocessor Activity",80.199060%,80.199060%,80.199060%
"TITAN V (0)","classify(float*, float*, int2)",1,"achieved_occupancy","Achieved Occupancy",0.657298,0.657298,0.657298
"TITAN V (0)","classify(float*, float*, int2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.280498,0.280498,0.280498
"TITAN V (0)","classify(float*, float*, int2)",1,"shared_utilization","Shared Memory Utilization","Idle (0)","Idle (0)","Idle (0)"
